kernel,family,capacity_target,ccz_share,supply_pressure,imbalance,supply_ccz_share,uniform_mix_mismatch,uniform_waste,concurrency,decision_sites,stages,max_stage_width,serial_fraction,mean_variants_per_site,min_cross_resource_cost_ratio,families,headroom_over_best_simple,headroom_over_uniform,oracle_exhaustive,fails
mixed_w32_c16_l1,mixed,0.25,0.25,1.1141,1.8333,0.6471,0.0499,0.2942,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,0.25,0.5,1.4816,3.6667,0.7858,0.2142,0.2203,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,0.25,0.75,1.4816,3.6667,0.7858,0.2142,0.2203,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,0.25,0.9,1.4816,3.6667,0.7858,0.2142,0.2203,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,0.5,0.1,0.8901,1.3636,0.4232,0.0405,0.2469,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,0.5,0.25,1.0062,1.0909,0.4783,0.0956,0.1845,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,0.5,0.5,1.2668,1.2222,0.5501,0.0795,0.1568,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,0.5,0.75,1.4816,3.6667,0.7858,0.2142,0.2203,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,0.5,0.9,1.4816,3.6667,0.7858,0.2142,0.2203,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,1.0,0.1,0.7056,2.7273,0.2683,0.1067,0.3452,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,1.0,0.25,0.8266,2.1818,0.3143,0.0607,0.2581,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,1.0,0.5,0.6017,1.2222,0.55,0.45,0.4789,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,1.0,0.75,0.7763,2.4444,0.7097,0.2903,0.3276,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,1.0,0.9,0.6685,11.0,0.9167,0.0833,0.3388,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,2.0,0.1,0.4075,5.4545,0.155,0.22,0.6016,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
