lambda_A,lambda_C,lambda_B,policy,match_rate,match_rate_nontrivial,mean_regret,median_regret,p95_regret,mean_regret_nontrivial,median_regret_nontrivial,p95_regret_nontrivial
0.0,0.05,0.002,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.002,random,0.8331043956043956,0.588477366255144,0.055917238445277566,0.0,0.29410526315789465,0.1594149225319614,0.0,0.7890243902439025
0.0,0.05,0.002,regime_aware,0.9773351648351648,0.9382716049382716,0.0006953556834701408,0.0,0.0,0.0017745635290792692,0.0,0.006000000000000005
0.0,0.05,0.005,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.1156645662329198,0.0,0.6368421052631579,0.3160790685444592,0.18181818181818188,0.8285714285714285
0.0,0.05,0.005,always_increase_B,0.9175824175824175,0.7592592592592593,0.03625296555025271,0.0,0.18789473684210534,0.10685875782449876,0.0,0.6773170731707316
0.0,0.05,0.005,always_increase_C,0.9862637362637363,0.9650205761316872,0.0003459118481940555,0.0,0.0,0.0007276700637254004,0.0,0.0
0.0,0.05,0.005,always_smooth,0.9141483516483516,0.7489711934156379,0.04010736524196145,0.0,0.20487804878048776,0.11840609517249863,0.0,0.7280487804878049
0.0,0.05,0.005,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.005,random,0.8372252747252747,0.5843621399176955,0.05395042205162452,0.0,0.31842105263157894,0.1556034394277502,0.0,0.7890243902439025
0.0,0.05,0.005,regime_aware,0.967032967032967,0.9074074074074074,0.001906711025421874,0.0,0.0,0.00540364455352726,0.0,0.045890410958904004
0.0,0.05,0.01,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11556333185086352,0.0,0.6368421052631579,0.3157757820006856,0.18181818181818188,0.8285714285714285
0.0,0.05,0.01,always_increase_B,0.9127747252747253,0.7448559670781894,0.04292370919017442,0.0,0.26249999999999996,0.12684353712434654,0.0,0.7573170731707317
0.0,0.05,0.01,always_increase_C,0.9903846153846154,0.977366255144033,0.00024467746613775546,0.0,0.0,0.0004243835199517938,0.0,0.0
0.0,0.05,0.01,always_smooth,0.9148351648351648,0.7510288065843621,0.04000613085990515,0.0,0.20487804878048776,0.11810280862872502,0.0,0.7280487804878049
0.0,0.05,0.01,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.01,random,0.8276098901098901,0.551440329218107,0.056434479196636245,0.0,0.26923076923076916,0.16465164529300466,0.0,0.7890243902439025
0.0,0.05,0.01,regime_aware,0.9656593406593407,0.9032921810699589,0.004463443676332607,0.0,0.0,0.013063320972716615,0.0,0.1006849315068492
0.0,0.05,0.02,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11553674192089786,0.0,0.6368421052631579,0.3156961216343687,0.18181818181818188,0.8285714285714285
0.0,0.05,0.02,always_increase_B,0.9107142857142857,0.7386831275720165,0.056441075304164805,0.0,0.42999999999999994,0.16734000844527244,0.0,0.844736842105263
0.0,0.05,0.02,always_increase_C,0.9910714285714286,0.9794238683127572,0.00021808753617209167,0.0,0.0,0.0003447231536349081,0.0,0.0
0.0,0.05,0.02,always_smooth,0.9162087912087912,0.7551440329218106,0.03997954092993949,0.0,0.20487804878048776,0.11802314826240813,0.0,0.7280487804878049
0.0,0.05,0.02,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.02,random,0.8413461538461539,0.5925925925925926,0.055210247680402,0.0,0.3063013698630137,0.15941299374920953,0.0,0.75
