program,kernel,regime,rate,model,description,makespan,reference,regret,reference_exhaustive,prediction_error_mean,prediction_error_max,selected_best_candidate
mixed_w32_c16_l2,mixed,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),7362,4322,1.7034,1,0.9735,0.9879,0
mixed_w32_c16_l2,mixed,rate0.1,0.1,deps_plus_count,dependencies + T-count,4322,4322,1.0,1,0.0012,0.0019,1
mixed_w32_c16_l2,mixed,rate0.1,0.1,deps_plus_throughput,dependencies + arrival timing,4322,4322,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate0.1,0.1,sccp,dependencies + arrival timing + buffer,4322,4322,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate0.1,0.1,sccp_plus,full model with the fluid buffer-loss term,4322,4322,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate0.1,0.1,t_count_only,T-count and average supply rate,4322,4322,1.0,1,0.0012,0.0019,1
mixed_w32_c16_l2,mixed,rate0.2,0.2,deps_only,dependencies only (what T-depth sees),3687,2167,1.7014,1,0.9472,0.9759,0
mixed_w32_c16_l2,mixed,rate0.2,0.2,deps_plus_count,dependencies + T-count,2167,2167,1.0,1,0.0009,0.0014,1
mixed_w32_c16_l2,mixed,rate0.2,0.2,deps_plus_throughput,dependencies + arrival timing,2167,2167,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate0.2,0.2,sccp,dependencies + arrival timing + buffer,2167,2167,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate0.2,0.2,sccp_plus,full model with the fluid buffer-loss term,2167,2167,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate0.2,0.2,t_count_only,T-count and average supply rate,2167,2167,1.0,1,0.0009,0.0014,1
mixed_w32_c16_l2,mixed,rate0.5,0.5,deps_only,dependencies only (what T-depth sees),1482,874,1.6957,1,0.8688,0.9399,0
mixed_w32_c16_l2,mixed,rate0.5,0.5,deps_plus_count,dependencies + T-count,874,874,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate0.5,0.5,deps_plus_throughput,dependencies + arrival timing,874,874,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate0.5,0.5,sccp,dependencies + arrival timing + buffer,874,874,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate0.5,0.5,sccp_plus,full model with the fluid buffer-loss term,874,874,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate0.5,0.5,t_count_only,T-count and average supply rate,874,874,1.0,1,0.0,0.0,1
mixed_w32_c16_l2,mixed,rate1,1.0,deps_only,dependencies only (what T-depth sees),747,448,1.6674,1,0.7407,0.8809,0
mixed_w32_c16_l2,mixed,rate1,1.0,deps_plus_count,dependencies + T-count,448,448,1.0,1,0.0031,0.0134,1
mixed_w32_c16_l2,mixed,rate1,1.0,deps_plus_throughput,dependencies + arrival timing,448,448,1.0,1,0.0004,0.0045,1
mixed_w32_c16_l2,mixed,rate1,1.0,sccp,dependencies + arrival timing + buffer,448,448,1.0,1,0.0004,0.0045,1
mixed_w32_c16_l2,mixed,rate1,1.0,sccp_plus,full model with the fluid buffer-loss term,448,448,1.0,1,0.0004,0.0045,1
mixed_w32_c16_l2,mixed,rate1,1.0,t_count_only,T-count and average supply rate,448,448,1.0,1,0.0031,0.0134,1
mixed_w32_c16_l2,mixed,rate2,2.0,deps_only,dependencies only (what T-depth sees),379,264,1.4356,1,0.5325,0.7652,0
mixed_w32_c16_l2,mixed,rate2,2.0,deps_plus_count,dependencies + T-count,264,264,1.0,1,0.0497,0.1414,1
mixed_w32_c16_l2,mixed,rate2,2.0,deps_plus_throughput,dependencies + arrival timing,264,264,1.0,1,0.0189,0.1338,1
