key,code,d,n,code_k,p,p_ebit,ratio,strategy,k,rounds,ebit_pairs,teleports,time_rounds,detectors,shots,errors,ler,ci_low,ci_high,batches,hit_shot_limit,seconds,decoder,tmcbs_commit
SC3|p=0.001|r=1|T_rt|k=2|rounds=0,SC3,3,9,1,0.001,0.001,1,T_rt,2,0,18,2,16,200,50126,674,0.0134461157882137,0.01162251127159558,0.015448469855962974,2,False,64.33,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=3|T_rt|k=2|rounds=0,SC3,3,9,1,0.001,0.003,3,T_rt,2,0,18,2,16,200,38000,520,0.01368421052631579,0.011585526315789473,0.016018684210526317,2,False,49.38,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=10|T_rt|k=2|rounds=0,SC3,3,9,1,0.001,0.01,10,T_rt,2,0,18,2,16,200,33885,593,0.017500368894791205,0.014982440607938616,0.02028036004131622,2,False,54.96,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.003|r=3|T|k=8|rounds=0,SC3,3,9,1,0.003,0.009000000000000001,3,T,8,0,9,1,31,288,3000,456,0.152,0.12872,0.17741333333333334,2,False,794.56,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=30|T_rt|k=2|rounds=0,SC3,3,9,1,0.001,0.03,30,T_rt,2,0,18,2,16,200,19191,568,0.029597207024125893,0.02527382627273201,0.03437184096712,2,False,40.08,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=3|T_rt|k=2|rounds=0,SC3,3,9,1,0.002,0.006,3,T_rt,2,0,18,2,16,200,7875,419,0.05320634920634921,0.044325079365079366,0.06313269841269842,2,False,30.5,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=1|T_rt|k=2|rounds=0,SC3,3,9,1,0.002,0.002,1,T_rt,2,0,18,2,16,200,9296,456,0.04905335628227195,0.04117039586919105,0.057829173838209985,2,False,35.42,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.003|r=10|T|k=8|rounds=0,SC3,3,9,1,0.003,0.03,10,T,8,0,9,1,31,288,3000,471,0.157,0.13338,0.18272333333333332,2,False,826.95,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=10|T_rt|k=2|rounds=0,SC3,3,9,1,0.002,0.02,10,T_rt,2,0,18,2,16,200,7600,444,0.05842105263157895,0.048953947368421055,0.0689578947368421,2,False,35.16,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=30|T_rt|k=2|rounds=0,SC3,3,9,1,0.002,0.06,30,T_rt,2,0,18,2,16,200,3983,450,0.11298016570424303,0.09523474767762992,0.13251318101933215,2,False,27.81,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.003|r=1|T_rt|k=2|rounds=0,SC3,3,9,1,0.003,0.003,1,T_rt,2,0,18,2,16,200,3702,410,0.11075094543490005,0.09255267423014586,0.1308833063209076,2,False,29.83,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
